"status_id","created_at","user_id","screen_name","text","lang","source","reply_count","retweet_count","favorite_count","user_followers_count","is_retweet","is_quote"
1000000001,2018-01-01 02:04:39,2.37e+14,"OfficialNgozi7433","Canada good o, electricity is a myth. No regrets. #EndSARS #BrainDrain","en","Twitter Web App",0,1,2,641,FALSE,TRUE
1000000002,2018-01-01 03:37:43,4.94e+14,"RealMusa3777","Goodbye Nigeria, there are no jobs. God bless the hustle. #Relocation #BrainDrain","en","Twitter for iPhone",1,1,4,531,FALSE,TRUE
1000000003,2018-01-01 05:02:26,4.83e+14,"OfficialEmeka9247","My mental health comes first, education system is collapsing. I miss the food though. #Canada #Relocation","en","Twitter for Android",1,3,12,58,FALSE,FALSE
1000000004,2018-01-01 06:23:41,8.77e+13,"RealTunde3382","Goodbye Nigeria, the insecurity is too much. See you all on the other side. #Naija #NewBeginnings","en","Twitter for Android",0,1,2,1144,FALSE,FALSE
1000000005,2018-01-01 07:12:54,4.89e+14,"TheDavid4377","To be honest, electricity is a myth. Don't let anyone guilt trip you. #ByeByeNigeria #Relocation","en","Twitter for Android",4,4,28,6,FALSE,FALSE
1000000006,2018-01-01 08:58:08,5.74e+14,"IamEmeka2961","Whatever you do, I am tired of suffering. God bless the hustle. #NewBeginnings #UK","pcm","Twitter for Android",0,0,0,1723,FALSE,FALSE
1000000007,2018-01-01 09:04:32,6.58e+14,"IamTunde9923","I can't believe it, the system is rigged. Just happy to be safe. #BrainDrain #Canada","en","Twitter for iPhone",0,1,3,384,FALSE,FALSE
1000000008,2018-01-01 09:17:19,8.19e+14,"RealFemi8223","My mental health comes first, education system is collapsing. I miss the food though. #Relocation #Nigeria","en","Twitter for iPhone",0,0,1,1735,FALSE,FALSE
1000000009,2018-01-01 09:36:48,7.78e+14,"Chiamaka9171","Whatever you do, education system is collapsing. I miss the food though. #BrainDrain #Nigeria","pcm","Twitter Web App",0,0,1,352,FALSE,FALSE
1000000010,2018-01-01 12:56:44,6.93e+14,"RealMusa2989","My watch has ended, there are no jobs. Peace of mind is expensive. #ByeByeNigeria #NewBeginnings","en","Twitter Web App",0,1,4,180,FALSE,FALSE
1000000011,2018-01-01 13:40:54,2.51e+14,"TheDavid8681","My watch has ended, I am tired of suffering. I miss the food though. #BrainDrain #BrainDrain","en","Twitter Web App",1,1,5,182,FALSE,FALSE
1000000012,2018-01-01 15:09:39,3.66e+14,"TheAda8719","To be honest, I need a better future for my kids. Starting over is hard but worth it. #NewBeginnings #BrainDrain","en","Twitter for iPhone",0,0,0,49,FALSE,FALSE
1000000013,2018-01-01 16:48:13,5.19e+14,"OfficialMusa4883","To be honest, education system is collapsing. Winter is cold but better than heat. #Canada #ByeByeNigeria","pcm","Twitter Web App",10,9,51,5,FALSE,FALSE
1000000014,2018-01-01 17:09:30,3.35e+14,"TheEmeka7916","Just landed, I need a better future for my kids. See you all on the other side. #UK #Naija","en","Twitter Web App",1,4,14,12,FALSE,FALSE
1000000015,2018-01-01 18:44:37,4.83e+14,"OfficialEmeka9247","My mental health comes first, I am tired of suffering. Winter is cold but better than heat. #EndSARS #EndSARS","en","Twitter for Android",10,17,50,58,FALSE,FALSE
1000000016,2018-01-01 19:36:05,4.59e+14,"JustAda7570","Man must survive, there are no jobs. See you all on the other side. #BrainDrain #ByeByeNigeria","en","Twitter Web App",0,0,1,67,FALSE,FALSE
1000000017,2018-01-01 20:40:22,7.72e+14,"TheChiamaka8196","Finally left, electricity is a myth. Don't let anyone guilt trip you. #Relocation #EndSARS","pcm","Twitter Web App",0,0,0,25,FALSE,FALSE
1000000018,2018-01-01 22:46:37,3.48e+14,"IamNgozi9528","Naija don tire me, the insecurity is too much. God bless the hustle. #BrainDrain #Nigeria","en","Twitter Web App",0,0,3,62,FALSE,FALSE
1000000019,2018-01-01 23:02:46,1.15e+14,"JustChiamaka4145","Man must survive, there are no jobs. Don't let anyone guilt trip you. #Naija #Relocation","en","Twitter Web App",0,0,1,1836,FALSE,FALSE
1000000020,2018-01-01 23:09:08,7.69e+12,"RealMusa3558","Naija don tire me, education system is collapsing. God bless the hustle. #Japa #BrainDrain","en","Twitter Web App",0,0,0,1068,FALSE,FALSE
1000000021,2018-01-01 23:54:34,9.43e+14,"RealEmeka3564","To be honest, the insecurity is too much. Peace of mind is expensive. #UK #UK","en","Twitter for iPhone",0,0,1,974,FALSE,TRUE
1000000022,2018-01-02 01:06:04,5.9e+14,"TheFemi3140","Just landed, police harassment is getting worse. I miss the food though. #BrainDrain #EndSARS","en","Twitter Web App",0,0,0,456,FALSE,FALSE
1000000023,2018-01-02 09:29:09,6.6e+14,"OfficialDavid1983","Goodbye Nigeria, traffic in Lagos is killing me. Just happy to be safe. #BrainDrain #Naija","en","Twitter for Android",0,0,1,57,FALSE,FALSE
1000000024,2018-01-02 11:26:37,9.44e+13,"JustMusa1241","Who no go no know, there are no jobs. God bless the hustle. #BrainDrain #EndSARS","pcm","Twitter for Android",0,1,2,307,FALSE,FALSE
1000000025,2018-01-02 12:34:59,5.06e+14,"IamTunde4662","My watch has ended, there are no jobs. No regrets. #Nigeria #EndSARS","en","Twitter for Android",1,3,8,98,FALSE,FALSE
1000000026,2018-01-02 13:18:40,4.79e+14,"IamZainab1547","Whatever you do, I need a better future for my kids. Just happy to be safe. #EndSARS #Nigeria","en","Twitter Web App",1,1,4,105,FALSE,FALSE
1000000027,2018-01-02 14:16:29,3.45e+14,"IamNgozi3697","Whatever you do, electricity is a myth. Starting over is hard but worth it. #ByeByeNigeria #Naija","en","Twitter Web App",0,0,1,41,FALSE,FALSE
1000000028,2018-01-02 14:30:34,5.88e+14,"JustAda550","The decision was hard but, the system is rigged. Peace of mind is expensive. #NewBeginnings #UK","pcm","Twitter for Android",1,1,6,1346,FALSE,FALSE
1000000029,2018-01-02 16:08:44,9.59e+14,"RealMusa9295","Whatever you do, education system is collapsing. Winter is cold but better than heat. #Nigeria #ByeByeNigeria","en","Twitter Web App",0,0,1,32,FALSE,FALSE
1000000030,2018-01-02 17:21:54,9.52e+14,"Ada6772","It is official, traffic in Lagos is killing me. Peace of mind is expensive. #Relocation #ByeByeNigeria","en","Twitter Web App",0,0,1,540,FALSE,FALSE
1000000031,2018-01-02 20:41:37,7.38e+13,"OfficialChiamaka4623","The decision was hard but, I need a better future for my kids. Just happy to be safe. #UK #EndSARS","en","Twitter for Android",0,0,0,39,FALSE,TRUE
1000000032,2018-01-02 23:33:26,4.83e+14,"OfficialEmeka9247","We move, I am tired of suffering. Winter is cold but better than heat. #Relocation #ByeByeNigeria","en","Twitter for iPhone",0,1,2,58,FALSE,FALSE
1000000033,2018-01-03 00:07:00,7.15e+14,"JustSola8624","My mental health comes first, I need a better future for my kids. Finally breathing fresh air. #Canada #Naija","pcm","Twitter for Android",1,0,3,334,FALSE,FALSE
1000000034,2018-01-03 01:42:26,3.74e+14,"Ngozi2109","Whatever you do, police harassment is getting worse. No regrets. #Japa #Relocation","en","Twitter for iPhone",0,1,3,21,FALSE,FALSE
1000000035,2018-01-03 02:35:16,1.06e+14,"RealSola2014","My watch has ended, the system is rigged. Don't let anyone guilt trip you. #UK #EndSARS","en","Twitter for iPhone",0,0,1,21,FALSE,FALSE
1000000036,2018-01-03 02:53:46,3.09e+14,"JustAda9946","Just landed, I am tired of suffering. I miss the food though. #EndSARS #ByeByeNigeria","en","Twitter Web App",0,0,1,109,FALSE,FALSE
1000000037,2018-01-03 03:39:24,5.57e+14,"OfficialNgozi4973","My mental health comes first, police harassment is getting worse. See you all on the other side. #Naija #BrainDrain","pcm","Twitter for iPhone",0,0,1,7036,FALSE,FALSE
1000000038,2018-01-03 05:43:12,4.83e+14,"RealTunde3145","Japa season, traffic in Lagos is killing me. See you all on the other side. #ByeByeNigeria #Relocation","en","Twitter Web App",0,1,4,267,FALSE,FALSE
1000000039,2018-01-03 11:08:00,3.02e+14,"IamAda5554","My watch has ended, education system is collapsing. Winter is cold but better than heat. #Relocation #Naija","en","Twitter for Android",0,0,1,96,FALSE,FALSE
1000000040,2018-01-03 12:01:34,6.96e+14,"Zainab5169","It is official, there are no jobs. Finally breathing fresh air. #UK #Relocation","en","Twitter Web App",0,1,4,10724,FALSE,FALSE
1000000041,2018-01-03 12:18:59,1.5e+14,"IamChiamaka943","Nothing remain here, electricity is a myth. Just happy to be safe. #UK #Nigeria","en","Twitter for Android",0,1,3,139,FALSE,FALSE
1000000042,2018-01-03 13:44:20,9.57e+14,"TheTunde4721","Just landed, police harassment is getting worse. Starting over is hard but worth it. #Nigeria #Canada","en","Twitter for Android",1,1,3,18,FALSE,FALSE
1000000043,2018-01-03 14:39:09,2.12e+14,"David1540","Finally left, the insecurity is too much. Starting over is hard but worth it. #EndSARS #Japa","pcm","Twitter for Android",0,0,1,69,FALSE,FALSE
1000000044,2018-01-03 15:43:24,7.61e+14,"Tunde1334","Finally left, the insecurity is too much. Don't let anyone guilt trip you. #Canada #Japa","pcm","Twitter for Android",0,0,1,3830,FALSE,FALSE
1000000045,2018-01-03 17:06:35,1.32e+14,"RealDavid5322","Whatever you do, I am tired of suffering. Starting over is hard but worth it. #Nigeria #BrainDrain","en","Twitter for iPhone",1,3,10,536,FALSE,FALSE
1000000046,2018-01-03 17:21:48,4.35e+14,"OfficialNgozi2172","Sapa nice one, the insecurity is too much. Don't let anyone guilt trip you. #UK #BrainDrain","en","Twitter Web App",1,1,5,668,FALSE,TRUE
1000000047,2018-01-03 17:35:17,5.75e+14,"TheMusa3014","The decision was hard but, education system is collapsing. God bless the hustle. #Nigeria #Nigeria","en","Twitter for iPhone",0,1,3,50071,FALSE,FALSE
1000000048,2018-01-03 17:48:11,8.07e+14,"OfficialZainab2637","Japa season, traffic in Lagos is killing me. Winter is cold but better than heat. #Canada #BrainDrain","en","Twitter for Android",0,0,1,84,FALSE,FALSE
1000000049,2018-01-03 18:07:05,3.1e+14,"TheTunde7932","Just landed, education system is collapsing. No regrets. #NewBeginnings #Naija","en","Twitter for iPhone",1,1,9,120,FALSE,FALSE
1000000050,2018-01-03 18:23:08,9.18e+14,"JustEmeka4541","Who no go no know, the insecurity is too much. Winter is cold but better than heat. #Japa #Nigeria","en","Twitter for Android",0,0,0,2423,FALSE,FALSE
1000000051,2018-01-03 19:20:27,9.95e+13,"JustSola2278","To be honest, the system is rigged. Winter is cold but better than heat. #Relocation #EndSARS","en","Twitter for iPhone",0,0,0,316,FALSE,FALSE
1000000052,2018-01-03 21:00:49,3.26e+14,"IamAda8322","Whatever you do, traffic in Lagos is killing me. I miss the food though. #BrainDrain #Nigeria","en","Twitter Web App",8,6,40,77,FALSE,FALSE
1000000053,2018-01-03 21:56:55,9.6e+14,"IamDavid7643","The decision was hard but, I am tired of suffering. Don't let anyone guilt trip you. #Canada #Japa","en","Twitter for iPhone",0,0,1,5,FALSE,FALSE
1000000054,2018-01-03 22:14:55,1.37e+14,"RealAda1191","Omo, I need a better future for my kids. Finally breathing fresh air. #Naija #NewBeginnings","en","Twitter for Android",1,2,14,58,FALSE,FALSE
1000000055,2018-01-03 22:44:24,9.92e+12,"OfficialSola8255","To be honest, the insecurity is too much. Starting over is hard but worth it. #BrainDrain #Japa","en","Twitter for iPhone",0,0,0,7,FALSE,TRUE
1000000056,2018-01-03 23:29:44,1.41e+14,"RealFemi9583","It is official, electricity is a myth. Starting over is hard but worth it. #UK #Relocation","en","Twitter for iPhone",0,1,3,26,FALSE,FALSE
1000000057,2018-01-04 00:01:23,2.11e+14,"JustAda1454","Naija don tire me, I am tired of suffering. Don't let anyone guilt trip you. #Naija #Canada","pcm","Twitter for iPhone",2,2,9,6,FALSE,FALSE
1000000058,2018-01-04 00:28:38,6.67e+14,"IamTunde5742","My mental health comes first, education system is collapsing. Winter is cold but better than heat. #Japa #Naija","en","Twitter for iPhone",0,1,3,812,FALSE,FALSE
1000000059,2018-01-04 01:18:27,1.35e+13,"IamNgozi4560","It is official, I am tired of suffering. God bless the hustle. #NewBeginnings #Japa","en","Twitter for Android",0,0,0,39,FALSE,FALSE
1000000060,2018-01-04 02:04:13,2.99e+13,"IamSola1872","To be honest, education system is collapsing. No regrets. #EndSARS #BrainDrain","pcm","Twitter for iPhone",0,0,1,1909,FALSE,FALSE
1000000061,2018-01-04 02:35:52,3.99e+13,"IamTunde6853","The decision was hard but, the system is rigged. God bless the hustle. #Naija #Canada","en","Twitter Web App",0,0,1,176,FALSE,TRUE
1000000062,2018-01-04 04:19:02,4.89e+14,"Chiamaka5633","It is official, the insecurity is too much. Starting over is hard but worth it. #Relocation #EndSARS","pcm","Twitter for Android",8,11,54,1050,FALSE,FALSE
1000000063,2018-01-04 05:37:59,6.04e+14,"IamTunde3696","To be honest, education system is collapsing. See you all on the other side. #Relocation #Japa","pcm","Twitter for iPhone",1,1,3,310,FALSE,FALSE
1000000064,2018-01-04 07:10:01,1.29e+14,"IamFemi8934","Man must survive, electricity is a myth. God bless the hustle. #Naija #Japa","en","Twitter Web App",0,1,3,181,FALSE,FALSE
1000000065,2018-01-04 07:33:19,6.19e+14,"Sola1170","Naija don tire me, there are no jobs. God bless the hustle. #Naija #Relocation","en","Twitter for Android",0,0,1,58,FALSE,FALSE
1000000066,2018-01-04 08:33:11,3.42e+14,"Zainab3719","Omo, I need a better future for my kids. Winter is cold but better than heat. #Nigeria #UK","en","Twitter for Android",0,0,0,107,FALSE,FALSE
1000000067,2018-01-04 08:58:09,6.82e+14,"TheChiamaka7832","It is official, police harassment is getting worse. See you all on the other side. #ByeByeNigeria #EndSARS","en","Twitter for iPhone",0,0,1,5230,FALSE,TRUE
1000000068,2018-01-04 09:34:57,6.1e+14,"Ngozi2221","Goodbye Nigeria, electricity is a myth. Just happy to be safe. #UK #Nigeria","en","Twitter for Android",0,0,0,13,FALSE,FALSE
1000000069,2018-01-04 10:51:18,8.09e+14,"OfficialAda1861","Goodbye Nigeria, traffic in Lagos is killing me. Finally breathing fresh air. #UK #Relocation","en","Twitter for iPhone",1,2,5,1041,FALSE,FALSE
1000000070,2018-01-04 12:44:53,3.48e+14,"IamNgozi9528","Omo, traffic in Lagos is killing me. Just happy to be safe. #Nigeria #Relocation","en","Twitter Web App",0,0,1,62,FALSE,FALSE
1000000071,2018-01-04 12:53:54,6.47e+14,"OfficialChiamaka1773","Whatever you do, the system is rigged. Peace of mind is expensive. #EndSARS #UK","en","Twitter Web App",0,0,0,46,FALSE,FALSE
1000000072,2018-01-04 14:11:54,9.55e+14,"IamTunde7857","Goodbye Nigeria, police harassment is getting worse. No regrets. #BrainDrain #EndSARS","pcm","Twitter Web App",4,5,28,6171,FALSE,FALSE
1000000073,2018-01-04 16:33:55,9.85e+14,"Zainab9958","The decision was hard but, electricity is a myth. God bless the hustle. #Nigeria #BrainDrain","en","Twitter for iPhone",0,0,0,333,FALSE,FALSE
1000000074,2018-01-04 18:26:12,4.26e+14,"Emeka9415","Goodbye Nigeria, the system is rigged. Finally breathing fresh air. #Naija #Relocation","en","Twitter for Android",0,0,1,6312,FALSE,FALSE
1000000075,2018-01-04 18:36:04,9.79e+14,"TheDavid757","I can't believe it, police harassment is getting worse. Starting over is hard but worth it. #Relocation #Japa","en","Twitter Web App",0,0,1,213,FALSE,FALSE
1000000076,2018-01-04 21:58:34,6.99e+14,"Tunde8081","Las las, the insecurity is too much. Winter is cold but better than heat. #NewBeginnings #Relocation","pcm","Twitter for Android",0,0,2,15,FALSE,FALSE
1000000077,2018-01-04 22:12:49,6.05e+14,"Femi5273","It is official, there are no jobs. Finally breathing fresh air. #EndSARS #ByeByeNigeria","en","Twitter for Android",7,20,60,184,FALSE,FALSE
1000000078,2018-01-05 01:02:45,4.4e+14,"OfficialFemi9178","Man must survive, electricity is a myth. Winter is cold but better than heat. #Japa #Japa","en","Twitter for Android",0,1,2,2217,FALSE,FALSE
1000000079,2018-01-05 03:26:10,7.47e+14,"JustZainab5414","My mental health comes first, education system is collapsing. God bless the hustle. #Canada #Japa","en","Twitter Web App",0,0,2,1800,FALSE,TRUE
1000000080,2018-01-05 04:16:06,8.26e+14,"IamSola1027","It is official, there are no jobs. Peace of mind is expensive. #BrainDrain #Relocation","pcm","Twitter for Android",0,0,1,68,FALSE,FALSE
1000000081,2018-01-05 05:00:29,9.24e+14,"David445","Just landed, I am tired of suffering. Just happy to be safe. #Japa #ByeByeNigeria","pcm","Twitter for Android",0,0,1,66,FALSE,FALSE
1000000082,2018-01-05 05:29:02,2.58e+14,"IamFemi9469","My mental health comes first, there are no jobs. Don't let anyone guilt trip you. #Canada #UK","en","Twitter for iPhone",0,0,2,364,FALSE,FALSE
1000000083,2018-01-05 09:10:23,3.78e+13,"David1880","Who no go no know, I am tired of suffering. See you all on the other side. #ByeByeNigeria #EndSARS","en","Twitter for Android",0,0,1,139,FALSE,FALSE
1000000084,2018-01-05 09:41:16,2.87e+14,"Emeka8427","My mental health comes first, police harassment is getting worse. Peace of mind is expensive. #Relocation #BrainDrain","en","Twitter for Android",3,3,15,103,FALSE,FALSE
1000000085,2018-01-05 11:08:47,9.26e+14,"Sola8032","Whatever you do, the insecurity is too much. Winter is cold but better than heat. #Relocation #ByeByeNigeria","pcm","Twitter Web App",0,0,0,3851,FALSE,FALSE
1000000086,2018-01-05 13:43:50,6.13e+14,"Musa3134","It is official, there are no jobs. No regrets. #ByeByeNigeria #UK","en","Twitter for Android",0,0,0,954,FALSE,FALSE
1000000087,2018-01-05 16:18:48,6.73e+14,"OfficialTunde6723","To be honest, I need a better future for my kids. See you all on the other side. #BrainDrain #Canada","en","Twitter Web App",0,0,1,45,FALSE,FALSE
1000000088,2018-01-05 17:00:39,8.63e+14,"Emeka316","Las las, electricity is a myth. Just happy to be safe. #Relocation #Naija","en","Twitter for Android",0,0,1,2288,FALSE,FALSE
1000000089,2018-01-05 18:24:48,9.31e+14,"OfficialChiamaka4967","It is official, police harassment is getting worse. No regrets. #Japa #BrainDrain","en","Twitter for Android",0,0,1,38,FALSE,FALSE
1000000090,2018-01-05 21:18:56,6.47e+14,"OfficialChiamaka1773","Goodbye Nigeria, police harassment is getting worse. Peace of mind is expensive. #BrainDrain #NewBeginnings","en","Twitter for iPhone",0,1,4,46,FALSE,FALSE
1000000091,2018-01-05 21:51:29,9.13e+12,"Sola2475","We move, electricity is a myth. No regrets. #NewBeginnings #Relocation","en","Twitter for Android",0,1,4,308,FALSE,FALSE
1000000092,2018-01-05 23:54:18,4.11e+14,"TheDavid8539","It is official, the insecurity is too much. Don't let anyone guilt trip you. #EndSARS #UK","en","Twitter for Android",0,0,0,4471,FALSE,FALSE
1000000093,2018-01-06 00:27:38,3.9e+14,"Ngozi8257","Goodbye Nigeria, the system is rigged. I miss the food though. #BrainDrain #ByeByeNigeria","en","Twitter Web App",0,0,0,533,FALSE,FALSE
1000000094,2018-01-06 06:57:37,5.98e+14,"Zainab4682","My watch has ended, education system is collapsing. I miss the food though. #BrainDrain #Canada","pcm","Twitter for Android",1,1,5,118,FALSE,FALSE
1000000095,2018-01-06 10:15:12,6.41e+14,"Tunde4863","Japa season, the insecurity is too much. No regrets. #Nigeria #EndSARS","en","Twitter for iPhone",6,21,66,230,FALSE,FALSE
1000000096,2018-01-06 10:30:11,8.51e+14,"JustChiamaka4444","Whatever you do, there are no jobs. I miss the food though. #Japa #EndSARS","en","Twitter for iPhone",0,1,2,9519,FALSE,FALSE
1000000097,2018-01-06 11:00:51,4.99e+14,"OfficialChiamaka6572","My watch has ended, police harassment is getting worse. Just happy to be safe. #Relocation #Nigeria","en","Twitter for iPhone",0,0,2,68,FALSE,FALSE
1000000098,2018-01-06 11:52:27,4.83e+14,"OfficialEmeka9247","The decision was hard but, the insecurity is too much. God bless the hustle. #Japa #Naija","en","Twitter for Android",1,1,6,58,FALSE,FALSE
1000000099,2018-01-06 12:17:15,7.06e+13,"JustZainab3857","The decision was hard but, the system is rigged. Finally breathing fresh air. #BrainDrain #NewBeginnings","pcm","Twitter Web App",0,0,0,84,FALSE,TRUE
1000000100,2018-01-06 14:18:20,2.06e+14,"Femi4709","Goodbye Nigeria, there are no jobs. No regrets. #ByeByeNigeria #NewBeginnings","en","Twitter for Android",0,0,2,443,FALSE,FALSE
