status_id,created_at,lang,text
1000000001,2018-01-01T02:04:39Z,en,"Canada good o, electricity is a myth. No regrets. EndSARS BrainDrain"
1000000002,2018-01-01T03:37:43Z,en,"Goodbye Nigeria, there are no jobs. God bless the hustle. Relocation BrainDrain"
1000000003,2018-01-01T05:02:26Z,en,"My mental health comes first, education system is collapsing. I miss the food though. Canada Relocation"
1000000004,2018-01-01T06:23:41Z,en,"Goodbye Nigeria, the insecurity is too much. See you all on the other side. Naija NewBeginnings"
1000000005,2018-01-01T07:12:54Z,en,"To be honest, electricity is a myth. Don't let anyone guilt trip you. ByeByeNigeria Relocation"
1000000006,2018-01-01T08:58:08Z,pcm,"Whatever you do, I am tired of suffering. God bless the hustle. NewBeginnings UK"
1000000007,2018-01-01T09:04:32Z,en,"I can't believe it, the system is rigged. Just happy to be safe. BrainDrain Canada"
1000000008,2018-01-01T09:17:19Z,en,"My mental health comes first, education system is collapsing. I miss the food though. Relocation Nigeria"
1000000009,2018-01-01T09:36:48Z,pcm,"Whatever you do, education system is collapsing. I miss the food though. BrainDrain Nigeria"
1000000010,2018-01-01T12:56:44Z,en,"My watch has ended, there are no jobs. Peace of mind is expensive. ByeByeNigeria NewBeginnings"
1000000011,2018-01-01T13:40:54Z,en,"My watch has ended, I am tired of suffering. I miss the food though. BrainDrain BrainDrain"
1000000012,2018-01-01T15:09:39Z,en,"To be honest, I need a better future for my kids. Starting over is hard but worth it. NewBeginnings BrainDrain"
1000000013,2018-01-01T16:48:13Z,pcm,"To be honest, education system is collapsing. Winter is cold but better than heat. Canada ByeByeNigeria"
1000000014,2018-01-01T17:09:30Z,en,"Just landed, I need a better future for my kids. See you all on the other side. UK Naija"
1000000015,2018-01-01T18:44:37Z,en,"My mental health comes first, I am tired of suffering. Winter is cold but better than heat. EndSARS EndSARS"
1000000016,2018-01-01T19:36:05Z,en,"Man must survive, there are no jobs. See you all on the other side. BrainDrain ByeByeNigeria"
1000000017,2018-01-01T20:40:22Z,pcm,"Finally left, electricity is a myth. Don't let anyone guilt trip you. Relocation EndSARS"
1000000018,2018-01-01T22:46:37Z,en,"Naija don tire me, the insecurity is too much. God bless the hustle. BrainDrain Nigeria"
1000000019,2018-01-01T23:02:46Z,en,"Man must survive, there are no jobs. Don't let anyone guilt trip you. Naija Relocation"
1000000020,2018-01-01T23:09:08Z,en,"Naija don tire me, education system is collapsing. God bless the hustle. Japa BrainDrain"
1000000021,2018-01-01T23:54:34Z,en,"To be honest, the insecurity is too much. Peace of mind is expensive. UK UK"
1000000022,2018-01-02T01:06:04Z,en,"Just landed, police harassment is getting worse. I miss the food though. BrainDrain EndSARS"
1000000023,2018-01-02T09:29:09Z,en,"Goodbye Nigeria, traffic in Lagos is killing me. Just happy to be safe. BrainDrain Naija"
1000000024,2018-01-02T11:26:37Z,pcm,"Who no go no know, there are no jobs. God bless the hustle. BrainDrain EndSARS"
1000000025,2018-01-02T12:34:59Z,en,"My watch has ended, there are no jobs. No regrets. Nigeria EndSARS"
1000000026,2018-01-02T13:18:40Z,en,"Whatever you do, I need a better future for my kids. Just happy to be safe. EndSARS Nigeria"
1000000027,2018-01-02T14:16:29Z,en,"Whatever you do, electricity is a myth. Starting over is hard but worth it. ByeByeNigeria Naija"
1000000028,2018-01-02T14:30:34Z,pcm,"The decision was hard but, the system is rigged. Peace of mind is expensive. NewBeginnings UK"
1000000029,2018-01-02T16:08:44Z,en,"Whatever you do, education system is collapsing. Winter is cold but better than heat. Nigeria ByeByeNigeria"
1000000030,2018-01-02T17:21:54Z,en,"It is official, traffic in Lagos is killing me. Peace of mind is expensive. Relocation ByeByeNigeria"
1000000031,2018-01-02T20:41:37Z,en,"The decision was hard but, I need a better future for my kids. Just happy to be safe. UK EndSARS"
1000000032,2018-01-02T23:33:26Z,en,"We move, I am tired of suffering. Winter is cold but better than heat. Relocation ByeByeNigeria"
1000000033,2018-01-03T00:07:00Z,pcm,"My mental health comes first, I need a better future for my kids. Finally breathing fresh air. Canada Naija"
1000000034,2018-01-03T01:42:26Z,en,"Whatever you do, police harassment is getting worse. No regrets. Japa Relocation"
1000000035,2018-01-03T02:35:16Z,en,"My watch has ended, the system is rigged. Don't let anyone guilt trip you. UK EndSARS"
1000000036,2018-01-03T02:53:46Z,en,"Just landed, I am tired of suffering. I miss the food though. EndSARS ByeByeNigeria"
1000000037,2018-01-03T03:39:24Z,pcm,"My mental health comes first, police harassment is getting worse. See you all on the other side. Naija BrainDrain"
1000000038,2018-01-03T05:43:12Z,en,"Japa season, traffic in Lagos is killing me. See you all on the other side. ByeByeNigeria Relocation"
1000000039,2018-01-03T11:08:00Z,en,"My watch has ended, education system is collapsing. Winter is cold but better than heat. Relocation Naija"
1000000040,2018-01-03T12:01:34Z,en,"It is official, there are no jobs. Finally breathing fresh air. UK Relocation"
1000000041,2018-01-03T12:18:59Z,en,"Nothing remain here, electricity is a myth. Just happy to be safe. UK Nigeria"
1000000042,2018-01-03T13:44:20Z,en,"Just landed, police harassment is getting worse. Starting over is hard but worth it. Nigeria Canada"
1000000043,2018-01-03T14:39:09Z,pcm,"Finally left, the insecurity is too much. Starting over is hard but worth it. EndSARS Japa"
1000000044,2018-01-03T15:43:24Z,pcm,"Finally left, the insecurity is too much. Don't let anyone guilt trip you. Canada Japa"
1000000045,2018-01-03T17:06:35Z,en,"Whatever you do, I am tired of suffering. Starting over is hard but worth it. Nigeria BrainDrain"
1000000046,2018-01-03T17:21:48Z,en,"Sapa nice one, the insecurity is too much. Don't let anyone guilt trip you. UK BrainDrain"
1000000047,2018-01-03T17:35:17Z,en,"The decision was hard but, education system is collapsing. God bless the hustle. Nigeria Nigeria"
1000000048,2018-01-03T17:48:11Z,en,"Japa season, traffic in Lagos is killing me. Winter is cold but better than heat. Canada BrainDrain"
1000000049,2018-01-03T18:07:05Z,en,"Just landed, education system is collapsing. No regrets. NewBeginnings Naija"
1000000050,2018-01-03T18:23:08Z,en,"Who no go no know, the insecurity is too much. Winter is cold but better than heat. Japa Nigeria"
1000000051,2018-01-03T19:20:27Z,en,"To be honest, the system is rigged. Winter is cold but better than heat. Relocation EndSARS"
1000000052,2018-01-03T21:00:49Z,en,"Whatever you do, traffic in Lagos is killing me. I miss the food though. BrainDrain Nigeria"
1000000053,2018-01-03T21:56:55Z,en,"The decision was hard but, I am tired of suffering. Don't let anyone guilt trip you. Canada Japa"
1000000054,2018-01-03T22:14:55Z,en,"Omo, I need a better future for my kids. Finally breathing fresh air. Naija NewBeginnings"
1000000055,2018-01-03T22:44:24Z,en,"To be honest, the insecurity is too much. Starting over is hard but worth it. BrainDrain Japa"
1000000056,2018-01-03T23:29:44Z,en,"It is official, electricity is a myth. Starting over is hard but worth it. UK Relocation"
1000000057,2018-01-04T00:01:23Z,pcm,"Naija don tire me, I am tired of suffering. Don't let anyone guilt trip you. Naija Canada"
1000000058,2018-01-04T00:28:38Z,en,"My mental health comes first, education system is collapsing. Winter is cold but better than heat. Japa Naija"
1000000059,2018-01-04T01:18:27Z,en,"It is official, I am tired of suffering. God bless the hustle. NewBeginnings Japa"
1000000060,2018-01-04T02:04:13Z,pcm,"To be honest, education system is collapsing. No regrets. EndSARS BrainDrain"
1000000061,2018-01-04T02:35:52Z,en,"The decision was hard but, the system is rigged. God bless the hustle. Naija Canada"
1000000062,2018-01-04T04:19:02Z,pcm,"It is official, the insecurity is too much. Starting over is hard but worth it. Relocation EndSARS"
1000000063,2018-01-04T05:37:59Z,pcm,"To be honest, education system is collapsing. See you all on the other side. Relocation Japa"
1000000064,2018-01-04T07:10:01Z,en,"Man must survive, electricity is a myth. God bless the hustle. Naija Japa"
1000000065,2018-01-04T07:33:19Z,en,"Naija don tire me, there are no jobs. God bless the hustle. Naija Relocation"
1000000066,2018-01-04T08:33:11Z,en,"Omo, I need a better future for my kids. Winter is cold but better than heat. Nigeria UK"
1000000067,2018-01-04T08:58:09Z,en,"It is official, police harassment is getting worse. See you all on the other side. ByeByeNigeria EndSARS"
1000000068,2018-01-04T09:34:57Z,en,"Goodbye Nigeria, electricity is a myth. Just happy to be safe. UK Nigeria"
1000000069,2018-01-04T10:51:18Z,en,"Goodbye Nigeria, traffic in Lagos is killing me. Finally breathing fresh air. UK Relocation"
1000000070,2018-01-04T12:44:53Z,en,"Omo, traffic in Lagos is killing me. Just happy to be safe. Nigeria Relocation"
1000000071,2018-01-04T12:53:54Z,en,"Whatever you do, the system is rigged. Peace of mind is expensive. EndSARS UK"
1000000072,2018-01-04T14:11:54Z,pcm,"Goodbye Nigeria, police harassment is getting worse. No regrets. BrainDrain EndSARS"
1000000073,2018-01-04T16:33:55Z,en,"The decision was hard but, electricity is a myth. God bless the hustle. Nigeria BrainDrain"
1000000074,2018-01-04T18:26:12Z,en,"Goodbye Nigeria, the system is rigged. Finally breathing fresh air. Naija Relocation"
1000000075,2018-01-04T18:36:04Z,en,"I can't believe it, police harassment is getting worse. Starting over is hard but worth it. Relocation Japa"
1000000076,2018-01-04T21:58:34Z,pcm,"Las las, the insecurity is too much. Winter is cold but better than heat. NewBeginnings Relocation"
1000000077,2018-01-04T22:12:49Z,en,"It is official, there are no jobs. Finally breathing fresh air. EndSARS ByeByeNigeria"
1000000078,2018-01-05T01:02:45Z,en,"Man must survive, electricity is a myth. Winter is cold but better than heat. Japa Japa"
1000000079,2018-01-05T03:26:10Z,en,"My mental health comes first, education system is collapsing. God bless the hustle. Canada Japa"
1000000080,2018-01-05T04:16:06Z,pcm,"It is official, there are no jobs. Peace of mind is expensive. BrainDrain Relocation"
1000000081,2018-01-05T05:00:29Z,pcm,"Just landed, I am tired of suffering. Just happy to be safe. Japa ByeByeNigeria"
1000000082,2018-01-05T05:29:02Z,en,"My mental health comes first, there are no jobs. Don't let anyone guilt trip you. Canada UK"
1000000083,2018-01-05T09:10:23Z,en,"Who no go no know, I am tired of suffering. See you all on the other side. ByeByeNigeria EndSARS"
1000000084,2018-01-05T09:41:16Z,en,"My mental health comes first, police harassment is getting worse. Peace of mind is expensive. Relocation BrainDrain"
1000000085,2018-01-05T11:08:47Z,pcm,"Whatever you do, the insecurity is too much. Winter is cold but better than heat. Relocation ByeByeNigeria"
1000000086,2018-01-05T13:43:50Z,en,"It is official, there are no jobs. No regrets. ByeByeNigeria UK"
1000000087,2018-01-05T16:18:48Z,en,"To be honest, I need a better future for my kids. See you all on the other side. BrainDrain Canada"
1000000088,2018-01-05T17:00:39Z,en,"Las las, electricity is a myth. Just happy to be safe. Relocation Naija"
1000000089,2018-01-05T18:24:48Z,en,"It is official, police harassment is getting worse. No regrets. Japa BrainDrain"
1000000090,2018-01-05T21:18:56Z,en,"Goodbye Nigeria, police harassment is getting worse. Peace of mind is expensive. BrainDrain NewBeginnings"
1000000091,2018-01-05T21:51:29Z,en,"We move, electricity is a myth. No regrets. NewBeginnings Relocation"
1000000092,2018-01-05T23:54:18Z,en,"It is official, the insecurity is too much. Don't let anyone guilt trip you. EndSARS UK"
1000000093,2018-01-06T00:27:38Z,en,"Goodbye Nigeria, the system is rigged. I miss the food though. BrainDrain ByeByeNigeria"
1000000094,2018-01-06T06:57:37Z,pcm,"My watch has ended, education system is collapsing. I miss the food though. BrainDrain Canada"
1000000095,2018-01-06T10:15:12Z,en,"Japa season, the insecurity is too much. No regrets. Nigeria EndSARS"
1000000096,2018-01-06T10:30:11Z,en,"Whatever you do, there are no jobs. I miss the food though. Japa EndSARS"
1000000097,2018-01-06T11:00:51Z,en,"My watch has ended, police harassment is getting worse. Just happy to be safe. Relocation Nigeria"
1000000098,2018-01-06T11:52:27Z,en,"The decision was hard but, the insecurity is too much. God bless the hustle. Japa Naija"
1000000099,2018-01-06T12:17:15Z,pcm,"The decision was hard but, the system is rigged. Finally breathing fresh air. BrainDrain NewBeginnings"
1000000100,2018-01-06T14:18:20Z,en,"Goodbye Nigeria, there are no jobs. No regrets. ByeByeNigeria NewBeginnings"
